variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on CIFAR-10 Smell2,1,15,3819.7183,20.8436,4876.2461,9460.8328,4365.6992,2709.375,0.7027,0.7126,0.7027
ResNet-18 on CIFAR-10 Smell2,2,14,3567.1851,12.577,6095.8555,8697.9338,4595.5859,1754.7966,0.6999,0.7289,0.6999
ResNet-18 on CIFAR-10 Smell2,3,16,4076.5467,12.4232,5902.3789,8530.8369,4762.6914,1695.5286,0.7017,0.7295,0.7017
ResNet-18 on CIFAR-10 Smell2,4,19,4839.2071,12.4048,5909.3867,8496.7012,4726.4258,1656.2971,0.7277,0.7511,0.7277
ResNet-18 on CIFAR-10 Smell2,5,18,4588.1731,12.4713,5949.9648,8604.8369,4650.4609,1765.4736,0.7021,0.7208,0.7021
ResNet-18 on CIFAR-10 Smell2,6,16,4082.0401,12.4586,5985.918,8549.7698,4726.8281,1704.3203,0.6945,0.7339,0.6945
ResNet-18 on CIFAR-10 Smell2,7,17,4528.1368,14.4993,5786.4415,8824.3509,4671.7444,1610.4538,0.7062,0.7304,0.7045
ResNet-18 on CIFAR-10 Smell2,8,16,4061.2716,12.6315,5425.007,8618.432,4620.4683,1984.1967,0.6967,0.7272,0.6971
ResNet-18 on CIFAR-10 Smell2,9,17,4169.2505,13.8663,5996.3465,8694.6703,4621.7128,1904.0248,0.7135,0.7415,0.7026
ResNet-18 on CIFAR-10 Smell2,10,15,3889.9214,14.4552,5938.705,8756.4877,4637.8687,2025.1855,0.7027,0.7188,0.7149
