variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,1,13.0,1993.4386,12.5163,9588.9141,3377.8135,4756.9297,1072.3123,0.817,0.8199,0.817
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,2,13.0,1989.6983,12.198,9818.9297,1781.312,4830.625,1208.7637,0.8079,0.8149,0.8079
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,3,9.0,1386.922,12.2812,8656.2734,1928.8958,5044.8555,1347.0234,0.7466,0.7852,0.7466
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,4,10.0,1540.326,11.9217,9410.8594,2066.0557,9316.1953,1483.0759,0.7736,0.7811,0.7736
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,5,12.0,1838.7761,12.2846,10639.8828,2185.5288,5661.3711,1622.5027,0.8165,0.822,0.8165
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,6,10.0,1531.7266,11.9888,11998.0391,2324.4863,12018.25,1759.5928,0.7493,0.7838,0.7493
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,7,12.0,1836.229,12.5205,13035.6914,2462.0806,6281.9648,1898.9099,0.7994,0.8024,0.7994
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,8,12.0,1836.3952,11.9822,13873.9219,2600.3623,13913.9375,2039.5427,0.8055,0.8078,0.8055
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,9,13.0,1992.0853,13.0943,14659.6367,2743.2344,6934.5703,2179.345,0.8062,0.8162,0.8062
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,10,13.0,2018.1619,12.574,11773.375,2880.8218,11789.6211,2316.9565,0.7995,0.8115,0.7995
ResNet-18 on CIFAR-10 Smell 4 Unnecessary Parallelism,mean,11.7,1796.3759000000002,12.33616,11345.552350000002,2435.059120000001,8054.8320300000005,1692.8024899999996,0.79215,0.8044800000000001,0.79215
