variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on SVHN Library Mismatch Smell,1,11.0,2656.5475,30.7941,12348.6367,3806.1553,5210.0273,2616.7866,0.9341,0.9334,0.9239
ResNet-18 on SVHN Library Mismatch Smell,2,12.0,2919.5638,29.9283,10700.1328,2199.5859,5601.4141,1642.4402,0.94,0.9338,0.938
ResNet-18 on SVHN Library Mismatch Smell,3,10.0,2440.2851,28.8569,11820.3438,2345.6172,5990.8359,1782.6909,0.9358,0.9325,0.9282
ResNet-18 on SVHN Library Mismatch Smell,4,12.0,2900.5141,29.1914,14518.8164,2483.814,14548.1914,1921.8088,0.9376,0.9371,0.9281
ResNet-18 on SVHN Library Mismatch Smell,5,12.0,2907.753,29.8094,15274.6758,2624.3442,6840.75,2085.667,0.9222,0.9183,0.9147
ResNet-18 on SVHN Library Mismatch Smell,6,9.0,2191.766,28.8339,12159.0938,2762.54,12189.5938,2216.7632,0.9225,0.9187,0.9185
ResNet-18 on SVHN Library Mismatch Smell,7,11.0,2659.1011,29.4323,15287.7266,2910.1797,7433.8047,2347.6541,0.938,0.9376,0.9322
ResNet-18 on SVHN Library Mismatch Smell,8,13.0,3134.0077,28.4056,15230.9883,3048.7798,15263.8086,2490.5186,0.9237,0.9198,0.9195
ResNet-18 on SVHN Library Mismatch Smell,9,10.0,2411.8389,29.0792,15576.7812,3191.1006,7987.3281,2746.3218,0.9305,0.9281,0.9255
ResNet-18 on SVHN Library Mismatch Smell,10,10.0,2405.1018,28.3477,14842.4766,3329.2964,14865.2031,2766.2673,0.9391,0.9405,0.9277
ResNet-18 on SVHN Library Mismatch Smell,mean,11.0,2662.6479,29.267879999999998,13775.9672,2870.14131,9593.0957,2261.69185,0.9323499999999999,0.9299800000000001,0.92563
