variant,run,stopped_epoch,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,test_accuracy,test_precision,test_recall
ResNet-18 on SHVN Unnecessary Parallelism smell ,1,10.0,2390.2113,29.4319,8033.6055,3806.1553,4973.6016,2615.8413,0.9358,0.9278,0.9351
ResNet-18 on SHVN Unnecessary Parallelism smell ,2,9.0,2153.1058,27.8062,10206.5938,2198.4407,5554.9883,1635.5598,0.9383,0.9354,0.9313
ResNet-18 on SHVN Unnecessary Parallelism smell ,3,10.0,2387.1113,28.1051,13123.207,2336.1599,5940.7031,1773.7451,0.9289,0.9304,0.9203
ResNet-18 on SHVN Unnecessary Parallelism smell ,4,11.0,2622.6077,27.4444,12535.4102,2474.3616,12545.3242,1912.6216,0.9375,0.9332,0.9306
ResNet-18 on SHVN Unnecessary Parallelism smell ,5,10.0,2389.4787,28.5307,13427.5664,2613.76,6702.1602,2076.2729,0.9316,0.934,0.9222
ResNet-18 on SHVN Unnecessary Parallelism smell ,6,11.0,2637.1081,27.7724,13501.8242,2751.9558,13521.707,2199.292,0.9295,0.926,0.9194
ResNet-18 on SHVN Unnecessary Parallelism smell ,7,11.0,2631.5793,28.287,14859.4922,2896.259,7395.0664,2333.6284,0.9299,0.9318,0.9187
ResNet-18 on SHVN Unnecessary Parallelism smell ,8,10.0,2386.8432,28.4098,13598.3906,3034.0803,13622.1836,2472.0728,0.919,0.9143,0.908
ResNet-18 on SHVN Unnecessary Parallelism smell ,9,12.0,2856.9774,28.3642,15625.5469,3173.8074,8003.6719,2620.55,0.9402,0.9427,0.9308
ResNet-18 on SHVN Unnecessary Parallelism smell ,10,13.0,3101.3323,27.815,15987.0156,3321.0032,16006.9375,2768.3706,0.9354,0.9307,0.9293
ResNet-18 on SHVN Unnecessary Parallelism smell ,mean,10.7,2555.63551,28.19667,13089.86524,2860.59832,9426.63438,2240.79545,0.93261,0.9306300000000001,0.9245699999999999
