variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy
baseline,1,70.5993,2.1661,1828.99,NA,1359.09,NA,0.000995,0.000496,2.9e-05,1.4e-05,0.6847
baseline,2,74.7432,2.1833,1827.24,NA,1355.79,NA,0.001064,0.000531,2.9e-05,1.4e-05,0.6703
baseline,3,73.1374,2.1561,1823.78,NA,1352.0,NA,0.001041,0.000519,2.7e-05,1.4e-05,0.6847
baseline,4,72.0724,2.1204,1816.3,NA,1347.71,NA,0.001026,0.000512,2.8e-05,1.4e-05,0.6847
baseline,5,72.2357,1.9918,1821.64,NA,1352.61,NA,0.001027,0.000512,2.6e-05,1.3e-05,0.6847
baseline,6,71.2306,2.1216,1819.64,NA,1348.44,NA,0.001013,0.000506,2.8e-05,1.4e-05,0.6847
baseline,7,70.7516,2.1068,1829.59,NA,1360.51,NA,0.001007,0.000502,2.8e-05,1.4e-05,0.6847
baseline,8,71.6786,2.1011,1826.37,NA,1355.07,NA,0.00102,0.000509,2.8e-05,1.4e-05,0.6847
baseline,9,72.4599,2.2488,1825.47,NA,1356.21,NA,0.001031,0.000514,3e-05,1.5e-05,0.6703
baseline,10,72.0602,2.0642,1830.91,NA,1358.45,NA,0.001026,0.000512,2.7e-05,1.3e-05,0.6847
smell2,1,41.1584,1.3954,1936.14,NA,1467.48,NA,0.000573,0.000286,1.8e-05,9e-06,0.6485
smell2,2,50.2915,1.6988,1938.84,NA,1467.67,NA,0.000708,0.000353,2e-05,1e-05,0.6485
smell2,3,106.6328,1.2828,1938.06,NA,1466.88,NA,0.001528,0.000762,1.6e-05,8e-06,0.6527
smell2,4,67.0826,1.9725,1956.99,NA,1488.19,NA,0.000953,0.000475,2.5e-05,1.3e-05,0.6485
smell2,5,74.6352,1.972,1938.22,NA,1469.39,NA,0.001061,0.000529,2.6e-05,1.3e-05,0.6485
smell2,6,70.4819,1.931,1930.29,NA,1460.36,NA,0.001002,0.0005,2.5e-05,1.3e-05,0.6527
smell2,7,75.7564,2.3417,1942.11,NA,1470.64,NA,0.001078,0.000538,3.1e-05,1.6e-05,0.6485
smell2,8,88.5303,2.3037,1942.87,NA,1470.65,NA,0.001264,0.000631,3.1e-05,1.5e-05,0.6485
smell2,9,76.457,2.0256,1945.48,NA,1476.66,NA,0.001089,0.000543,2.6e-05,1.3e-05,0.6485
smell2,10,68.0009,2.199,1940.12,NA,1470.91,NA,0.000967,0.000482,2.8e-05,1.4e-05,0.6485

