variant,run_id,train_time_sec,eval_time_sec,cpu_peak_train_mb,gpu_peak_train_mb,cpu_peak_eval_mb,gpu_peak_eval_mb,train_energy_kwh,train_co2_kg,eval_energy_kwh,eval_co2_kg,test_accuracy
base,1,54.1303,4.6883,1235.41,NA,583.97,NA,0.00023,0.000115,1e-06,1e-06,0.6742
base,2,55.543,4.7693,1816.52,NA,670.03,NA,0.000207,0.000103,1e-06,1e-06,0.6742
base,3,57.767,4.7,1435.34,NA,707.64,NA,0.000198,9.9e-05,1e-06,1e-06,0.6742
base,4,57.9921,4.7215,1251.12,NA,700.41,NA,0.000194,9.7e-05,1e-06,1e-06,0.6742
base,5,56.9616,3.8772,1659.25,NA,757.62,NA,0.000189,9.4e-05,2e-06,1e-06,0.6742
base,6,60.0963,4.8598,1364.31,NA,654.2,NA,0.000185,9.2e-05,1e-06,1e-06,0.6742
base,7,59.2668,4.7437,1860.64,NA,739.3,NA,0.000182,9.1e-05,1e-06,1e-06,0.6742
base,8,57.9302,4.7086,1933.97,NA,961.12,NA,0.00018,9e-05,1e-06,1e-06,0.6742
base,9,58.9043,4.7645,1688.14,NA,600.28,NA,0.000181,9e-05,3e-06,1e-06,0.6742
base,10,58.4545,4.8925,1349.45,NA,484.66,NA,0.00018,9e-05,2e-06,1e-06,0.6742
smell1,1,69.9299,4.7848,1540.41,NA,792.16,NA,0.000219,0.000109,1e-06,1e-06,0.6742
smell1,2,58.1941,4.6928,1431.05,NA,730.77,NA,0.000198,9.9e-05,1e-06,1e-06,0.6742
smell1,3,63.985,4.6947,1138.67,NA,941.89,NA,0.000198,9.9e-05,1e-06,1e-06,0.6742
smell1,4,61.8937,4.7874,1198.58,NA,772.88,NA,0.000187,9.3e-05,1e-06,1e-06,0.6742
smell1,5,61.1098,4.9485,1499.34,NA,887.64,NA,0.000191,9.5e-05,3e-06,1e-06,0.6742
smell1,6,58.9812,4.7369,1529.23,NA,912.12,NA,0.000179,8.9e-05,1e-06,1e-06,0.6742
smell1,7,60.53,4.2221,1491.64,NA,629.3,NA,0.000181,9e-05,2e-06,1e-06,0.6742
smell1,8,66.8664,4.7643,1007.59,NA,851.97,NA,0.000204,0.000102,1e-06,1e-06,0.6742
smell1,9,75.2939,4.729,1222.36,NA,648.17,NA,0.00015,7.5e-05,1e-06,1e-06,0.6742
smell1,10,61.7892,4.7269,1353.41,NA,954.08,NA,0.000163,8.1e-05,1e-06,1e-06,0.6742
